BEL,BELINST,FROM/CONTROL/MAIN PIN,TO/DATA/REFERENCE PIN,ARC TYPE,UNATENESS,CFG SETTINGS,DELAY NAME,-1,,-2,,-2LV,,-3,,-5,,
,,,,,,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode352,0.414,0.165,0.388,0.155,0.388,0.155,0.352,0.150,0.240,0.102,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode353,0.476,0.189,0.436,0.175,0.436,0.175,0.392,0.169,0.267,0.111,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode354,0.600,0.247,0.552,0.225,0.552,0.225,0.476,0.212,0.317,0.130,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode355,0.407,0.164,0.376,0.153,0.376,0.153,0.346,0.148,0.240,0.102,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode356,0.478,0.192,0.443,0.174,0.443,0.174,0.395,0.169,0.267,0.112,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode357,0.362,0.226,0.349,0.215,0.349,0.215,0.332,0.196,0.277,0.162,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode358,0.384,0.226,0.366,0.231,0.366,0.231,0.331,0.195,0.279,0.162,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode359,0.378,0.229,0.355,0.214,0.355,0.214,0.323,0.198,0.277,0.164,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode360,0.384,0.239,0.363,0.228,0.363,0.228,0.342,0.209,0.287,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode361,0.384,0.239,0.364,0.228,0.364,0.228,0.343,0.209,0.288,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode362,0.386,0.240,0.365,0.228,0.365,0.228,0.343,0.209,0.289,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode363,0.360,0.229,0.353,0.214,0.353,0.214,0.333,0.198,0.267,0.164,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode364,0.384,0.239,0.363,0.228,0.363,0.228,0.343,0.209,0.287,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode365,0.375,0.226,0.377,0.215,0.377,0.215,0.333,0.195,0.275,0.162,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode366,0.384,0.226,0.351,0.215,0.351,0.215,0.341,0.196,0.279,0.163,
