IBANK,TBANK,CBANK,OBANK,INPIN,TSPIN,CLKPIN,OUTPIN,IOSTANDARD,DRIVE,SLEW,DESIGN,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,2,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_2_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,2,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_2_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,2,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_2_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,4,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_4_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,4,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_4_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,4,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_4_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,6,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_6_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,6,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_6_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,6,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_6_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,8,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_8_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,8,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_8_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS12,8,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_8_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,2,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_2_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,2,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_2_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,2,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_2_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,4,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_4_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,4,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_4_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,4,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_4_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,6,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_6_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,6,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_6_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,6,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_6_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,8,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_8_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,8,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_8_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,8,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_8_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,12,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_12_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,12,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_12_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS15,12,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_12_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,2,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_2_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,2,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_2_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,2,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_2_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,4,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_4_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,4,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_4_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,4,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_4_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,6,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_6_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,6,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_6_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,6,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_6_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,8,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_8_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,8,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_8_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,8,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_8_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,12,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_12_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,12,MEDIUM,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_12_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,LVCMOS18,12,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS18_DRIVE_12_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,2,FAST,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_2_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,2,MEDIUM,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_2_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,2,SLOW,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_2_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,4,FAST,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_4_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,4,MEDIUM,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_4_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,4,SLOW,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_4_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,6,FAST,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_6_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,6,MEDIUM,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_6_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,6,SLOW,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_6_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,8,FAST,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_8_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,8,MEDIUM,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_8_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS12,8,SLOW,OBUFT_SLAVE_IOSTANDARD_LVCMOS12_DRIVE_8_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS15,2,FAST,OBUFT_SLAVE_IOSTANDARD_LVCMOS15_DRIVE_2_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS15,2,MEDIUM,OBUFT_SLAVE_IOSTANDARD_LVCMOS15_DRIVE_2_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS15,2,SLOW,OBUFT_SLAVE_IOSTANDARD_LVCMOS15_DRIVE_2_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS15,4,FAST,OBUFT_SLAVE_IOSTANDARD_LVCMOS15_DRIVE_4_SLEW_FAST,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS15,4,MEDIUM,OBUFT_SLAVE_IOSTANDARD_LVCMOS15_DRIVE_4_SLEW_MEDIUM,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS15,4,SLOW,OBUFT_SLAVE_IOSTANDARD_LVCMOS15_DRIVE_4_SLEW_SLOW,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1N_T0L_N1_DBC_64,LVCMOS15,6,FAST,OBUFT_SLAVE_IOSTANDARD_LVCMOS15_DRIVE_6_SLEW_FAST,
